Score,Label,Name,Category,Duration(min),TSS,IF,Protocol,Z1%,Z2%,Z3%,Z4%,Z5%,Z6%,Dominant,Notes,File
10,HIGH ✓✓,Session 24: Threshold Pulling,coop-academy,83.0,63.4,0.677,VO2max — Helgerud-style 6×4.0min @ 105%,65.1,6.0,0.0,0.0,28.9,0.0,Z1,VO2max development (Helgerud 2007 / Seiler 2013),month-3-session-24-threshold-pulling.zwo
10,HIGH ✓✓,High Intensity Recovery,60-90-minutes-to-burn,81.0,80.9,0.774,VO2max — Helgerud-style 3×3.0min @ 106%,12.3,43.2,0.0,22.2,0.0,22.2,Z2,VO2max development (Helgerud 2007 / Seiler 2013),high-intensity-recovery.zwo
10,HIGH ✓✓,High Intensity Recovery,60-90-minutes-to-burn-legacy,81.0,80.9,0.774,VO2max — Helgerud-style 3×3.0min @ 106%,12.3,43.2,0.0,22.2,0.0,22.2,Z2,VO2max development (Helgerud 2007 / Seiler 2013),high-intensity-recovery.zwo
10,HIGH ✓✓,Workout 15,mountain-bike,80.0,62.7,0.686,VO2max — Helgerud-style 7×3.0min @ 115%,63.7,8.8,0.0,0.0,0.0,27.5,Z1,VO2max development (Helgerud 2007 / Seiler 2013),annika-langvad-series-workout-15.zwo
10,HIGH ✓✓,Session 17: Pushing & Pulling,coop-academy,79.0,55.3,0.648,VO2max — Helgerud-style 3×4.0min @ 105%,40.5,25.3,0.0,19.0,15.2,0.0,Z1,VO2max development (Helgerud 2007 / Seiler 2013),month-2-session-17-pushing-pulling.zwo
10,HIGH ✓✓,Workout 8,mountain-bike,77.0,60.0,0.684,VO2max — Helgerud-style 3×3.0min @ 115%,46.8,9.1,19.5,0.0,0.0,24.7,Z1,VO2max development (Helgerud 2007 / Seiler 2013),annika-langvad-series-workout-8.zwo
10,HIGH ✓✓,ODChickenCyclingers - VO2max 874,community-rides,77.0,78.3,0.781,VO2max — Helgerud-style 4×8.0min @ 110%,46.8,7.8,1.3,0.0,2.6,41.6,Z1,VO2max development (Helgerud 2007 / Seiler 2013),vo2max-community-rides-vo2max-874.zwo
10,HIGH ✓✓,Anaerobic High 1,chris-ohearn,71.0,65.9,0.746,VO2max — Helgerud-style 5×3.0min @ 123%,28.2,47.9,0.0,2.8,0.0,21.1,Z2,VO2max development (Helgerud 2007 / Seiler 2013),anaerobic-high-1.zwo
10,HIGH ✓✓,Race Pace Plus High,chris-ohearn,70.0,65.5,0.749,VO2max — Helgerud-style 3×5.0min @ 112%,21.4,47.1,0.0,0.0,2.9,28.6,Z2,VO2max development (Helgerud 2007 / Seiler 2013),race-pace-plus-high.zwo
10,HIGH ✓✓,Session 18: Threshold Pulling,coop-academy,70.0,48.2,0.643,VO2max — Helgerud-style 5×4.0min @ 105%,42.9,28.6,0.0,0.0,28.6,0.0,Z1,VO2max development (Helgerud 2007 / Seiler 2013),month-2-session-18-threshold-pulling.zwo
10,HIGH ✓✓,ODChickenCyclingers - VO2max 764,community-rides,69.0,63.7,0.744,VO2max — Helgerud-style 4×7.0min @ 110%,46.4,8.7,1.4,0.0,2.9,40.6,Z1,VO2max development (Helgerud 2007 / Seiler 2013),vo2max-community-rides-vo2max-764.zwo
10,HIGH ✓✓,Joe Skipper Burner,tri247com-pro-workouts,65.0,73.2,0.822,VO2max — Helgerud-style 5×3.0min @ 115%,36.9,9.2,0.0,0.0,30.8,23.1,Z1,VO2max development (Helgerud 2007 / Seiler 2013),joe-skipper-burner.zwo
10,HIGH ✓✓,Race Pace Plus Medium,chris-ohearn,62.0,56.4,0.739,VO2max — Helgerud-style 3×4.0min @ 112%,19.4,51.6,0.0,0.0,3.2,25.8,Z2,VO2max development (Helgerud 2007 / Seiler 2013),race-pace-plus-medium.zwo
10,HIGH ✓✓,ODChickenCyclingers - VO2max 654,community-rides,61.0,61.4,0.777,VO2max — Helgerud-style 4×6.0min @ 110%,45.9,9.8,1.6,0.0,3.3,39.3,Z1,VO2max development (Helgerud 2007 / Seiler 2013),vo2max-community-rides-vo2max-654.zwo
10,HIGH ✓✓,The Gorby,60-90-minutes-to-burn,60.0,60.7,0.779,VO2max — Helgerud-style 5×5.0min @ 110%,58.3,0.0,0.0,0.0,0.0,41.7,Z1,VO2max development (Helgerud 2007 / Seiler 2013),the-gorby.zwo
10,HIGH ✓✓,LOX,build-me-up,60.0,58.1,0.762,VO2max — Helgerud-style 5×3.0min @ 115%,47.5,8.3,0.0,17.5,0.8,25.8,Z1,VO2max development (Helgerud 2007 / Seiler 2013),week-7-lox.zwo
10,HIGH ✓✓,FRNKLN - January 7,franklin-bespoke,60.0,58.4,0.764,VO2max — Helgerud-style 4×3.0min @ 120%,5.0,75.0,0.0,0.0,0.0,20.0,Z2,VO2max development (Helgerud 2007 / Seiler 2013),getting-fit-in-january-frnkln-january-7.zwo
10,HIGH ✓✓,VO2 I - Ouch!,gc-coaching,60.0,53.7,0.733,VO2max — Helgerud-style 5×3.0min @ 110%,55.8,0.0,0.0,16.7,0.0,27.5,Z1,VO2max development (Helgerud 2007 / Seiler 2013),vo2max-vo2-i-ouch.zwo
10,HIGH ✓✓,5x5 minute above FTP,john-hunts-workouts,60.0,52.7,0.726,VO2max — Helgerud-style 5×5.0min @ 106%,58.3,0.0,0.0,0.0,0.0,41.7,Z1,VO2max development (Helgerud 2007 / Seiler 2013),5x5-minute-above-ftp.zwo
10,HIGH ✓✓,The Gorby,less-than-60-minutes-to-burn,60.0,60.7,0.779,VO2max — Helgerud-style 5×5.0min @ 110%,58.3,0.0,0.0,0.0,0.0,41.7,Z1,VO2max development (Helgerud 2007 / Seiler 2013),the-gorby.zwo
10,HIGH ✓✓,Interval Mix,one-of-a-kind,60.0,62.7,0.792,VO2max — Helgerud-style 3×5.0min @ 110%,30.0,36.7,0.0,0.0,0.0,33.3,Z2,VO2max development (Helgerud 2007 / Seiler 2013),interval-mix.zwo
10,HIGH ✓✓,Rhys Jones - All Heart,tri247com-pro-workouts,60.0,62.7,0.792,VO2max — Helgerud-style 3×3.0min @ 110%,3.3,63.3,0.0,0.0,0.0,33.3,Z2,VO2max development (Helgerud 2007 / Seiler 2013),rhys-jones-all-heart.zwo
10,HIGH ✓✓,LOX,vo2-max,60.0,58.1,0.762,VO2max — Helgerud-style 5×3.0min @ 115%,47.5,8.3,0.0,17.5,0.8,25.8,Z1,VO2max development (Helgerud 2007 / Seiler 2013),lox.zwo
10,HIGH ✓✓,3. Depleting 4's,l-etape-du-tour-training-club,57.0,54.0,0.754,VO2max — Helgerud-style 3×4.0min @ 105%,24.6,25.4,27.2,0.0,22.8,0.0,Z3,VO2max development (Helgerud 2007 / Seiler 2013),phase-4-3-depleting-4s.zwo
10,HIGH ✓✓,ODChickenCyclingers - Resolutions Day 3,community-rides,57.0,44.4,0.684,VO2max — Helgerud-style 5×3.0min @ 120%,57.9,10.5,1.8,0.0,3.5,26.3,Z1,VO2max development (Helgerud 2007 / Seiler 2013),resolutions-community-rides-resolutions-day-3.zwo
10,HIGH ✓✓,VO2 Max Builder,bike-science,56.0,45.7,0.7,VO2max — Helgerud-style 5×3.0min @ 110%,57.1,12.5,0.0,0.0,3.6,26.8,Z1,VO2max development (Helgerud 2007 / Seiler 2013),vo2-max-builder.zwo
10,HIGH ✓✓,ODChickenCyclingers - VO2max 544,community-rides,53.0,52.8,0.773,VO2max — Helgerud-style 4×5.0min @ 110%,45.3,11.3,1.9,0.0,3.8,37.7,Z1,VO2max development (Helgerud 2007 / Seiler 2013),vo2max-community-rides-vo2max-544.zwo
10,HIGH ✓✓,Marianne Vos: TT workout,daily-fit,50.0,44.4,0.73,VO2max — Helgerud-style 4×4.0min @ 107%,55.7,6.0,6.0,0.0,0.0,32.3,Z1,VO2max development (Helgerud 2007 / Seiler 2013),marianne-vos-tt-workout.zwo
10,HIGH ✓✓,Marianne Vos: TT workout,pro-training-camp,50.0,44.4,0.73,VO2max — Helgerud-style 4×4.0min @ 107%,55.7,6.0,6.0,0.0,0.0,32.3,Z1,VO2max development (Helgerud 2007 / Seiler 2013),marianne-vos-tt-workout.zwo
10,HIGH ✓✓,Annemiek Van Vleuten: All-rounder,pro-training-camp-movistar,50.0,45.9,0.742,VO2max — Helgerud-style 3×3.0min @ 110%,36.0,28.0,0.0,0.0,0.0,36.0,Z1,VO2max development (Helgerud 2007 / Seiler 2013),annemiek-van-vleuten-all-rounder.zwo
10,HIGH ✓✓,3. VO2 Max 3x3,pebble-pounder,38.0,35.2,0.746,VO2max — Helgerud-style 3×3.0min @ 115%,26.3,45.2,0.0,0.0,3.9,24.6,Z2,VO2max development (Helgerud 2007 / Seiler 2013),week-1-3-vo2-max-3x3.zwo
10,HIGH ✓✓,VO2 Max 3x3,vo2-max,38.0,35.2,0.746,VO2max — Helgerud-style 3×3.0min @ 115%,26.3,45.2,0.0,0.0,3.9,24.6,Z2,VO2max development (Helgerud 2007 / Seiler 2013),vo2-max-3x3.zwo
9,HIGH ✓✓,Deathgasm,derek-rushs-pain-cave-challenge,99.2,117.5,0.843,VO2max — Rønnestad micro-intervals (30s/20s × 10),38.5,12.1,0.0,0.0,0.0,49.4,Z6,"High W' accumulation, low fatigue (Rønnestad 2020)",deathgasm.zwo
9,HIGH ✓✓,Vo2 Progression #9,paul-mack,91.8,81.9,0.732,VO2max — Rønnestad micro-intervals (20s/20s × 10),43.0,16.3,0.0,28.9,0.0,11.8,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",vo2-progression-vo2-progression-9.zwo
9,HIGH ✓✓,OneLove - Mixer1,franklin-bespoke,90.0,104.3,0.834,VO2max — Rønnestad micro-intervals (40s/20s × 10),0.0,34.1,24.4,26.7,0.0,14.8,Z2,"High W' accumulation, low fatigue (Rønnestad 2020)",onelove-onelove-mixer1.zwo
9,HIGH ✓✓,Vo2 Progression #2,paul-mack,89.8,77.1,0.718,VO2max — Rønnestad micro-intervals (20s/20s × 10),44.5,16.7,0.0,29.5,0.0,9.3,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",vo2-progression-vo2-progression-2.zwo
9,HIGH ✓✓,Day 3,10-12wk-ftp-builder,85.0,54.3,0.619,Endurance,11.8,88.2,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-10-day-3.zwo
9,HIGH ✓✓,Day 1,10-12wk-ftp-builder,85.0,51.2,0.601,Endurance,23.5,76.5,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-11-day-1.zwo
9,HIGH ✓✓,Day 1,10-12wk-ftp-builder,85.0,51.2,0.601,Endurance,23.5,76.5,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-9-day-1.zwo
9,HIGH ✓✓,Day 3,10-12wk-ftp-builder,85.0,51.2,0.601,Endurance,23.5,76.5,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-9-day-3.zwo
9,HIGH ✓✓,VO2max 1,federico-bassis,80.6,74.9,0.747,VO2max — Rønnestad micro-intervals (40s/20s × 8),59.0,6.2,0.0,0.0,0.0,34.7,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",vo2max-1.zwo
9,HIGH ✓✓,Day 1,10-12wk-ftp-builder,80.0,48.5,0.603,Endurance,25.0,75.0,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-7-day-1.zwo
9,HIGH ✓✓,Regeneration standard 80min,recreation-and-foundation,80.0,37.0,0.527,Endurance,87.8,6.2,3.1,1.2,0.0,1.6,Z1,94% in Z1/Z2,regeneration-standard-80min.zwo
9,HIGH ✓✓,Day 5 - Endurance,active-offseason,75.0,51.8,0.644,Endurance,40.0,60.0,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-12-day-5-endurance.zwo
9,HIGH ✓✓,Free Ride,gravel-grinder,75.0,33.8,0.52,Endurance,73.3,26.7,0.0,0.0,0.0,0.0,Z1,100% in Z1/Z2,week-8-free-ride.zwo
9,HIGH ✓✓,Day 9,vo2max-booster-program,75.0,27.4,0.468,Endurance,100.0,0.0,0.0,0.0,0.0,0.0,Z1,100% in Z1/Z2,week-2-day-9.zwo
9,HIGH ✓✓,ZADA Power Test,60-90-minutes-to-burn-legacy,72.0,28.5,0.487,Endurance,100.0,0.0,0.0,0.0,0.0,0.0,Z1,100% in Z1/Z2,zada-power-test-zada-power-test.zwo
9,HIGH ✓✓,Day 3 - Foundation,ftp-builder,71.0,52.3,0.665,Endurance,21.1,78.9,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-4-day-3-foundation.zwo
9,HIGH ✓✓,Day 3 - Foundation,ftp-builder,71.0,52.3,0.665,Endurance,21.1,78.9,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-5-day-3-foundation.zwo
9,HIGH ✓✓,Day 3 - Foundation,ftp-builder,71.0,52.3,0.665,Endurance,21.1,78.9,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-6-day-3-foundation.zwo
9,HIGH ✓✓,2. Wednesday - T: 3x12 @65-75 RPM,gc-coaching-virtual-group-training-phase-1,71.0,55.2,0.683,Endurance,33.1,59.2,2.8,2.8,0.0,2.1,Z2,92% in Z1/Z2,week-2-2-wednesday-t-3x12-65-75-rpm.zwo
9,HIGH ✓✓,2. Wednesday - T: 2x20 @65-75 RPM,gc-coaching-virtual-group-training-phase-1,70.0,56.5,0.696,Endurance,26.4,65.7,2.9,2.9,0.0,2.1,Z2,92% in Z1/Z2,week-3-2-wednesday-t-2x20-65-75-rpm.zwo
9,HIGH ✓✓,#10-DPC Leg Speed Set 3,zf18-direct-power-coaching-phase-1,70.0,35.9,0.555,Endurance,35.7,64.3,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-4-10-dpc-leg-speed-set-3.zwo
9,HIGH ✓✓,Day 2 - Anaerobic Intensive,2018-prl100-prep,69.0,37.5,0.571,Endurance,78.3,14.5,2.9,0.0,0.0,4.3,Z1,93% in Z1/Z2,week-14-day-2-anaerobic-intensive.zwo
9,HIGH ✓✓,VO2 Development,best-of-coop-academy,69.0,60.8,0.727,VO2max — Rønnestad micro-intervals (40s/20s × 8),55.1,17.4,0.0,4.3,0.0,23.2,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",za-2020-vo2-development.zwo
9,HIGH ✓✓,Day 2 - Strength,ftp-builder,69.0,41.3,0.599,Endurance,76.1,15.9,4.3,0.0,0.0,3.6,Z1,92% in Z1/Z2,week-3-day-2-strength.zwo
9,HIGH ✓✓,7. VO2 Development,talent-pipeline-2020,69.0,60.8,0.727,VO2max — Rønnestad micro-intervals (40s/20s × 8),55.1,17.4,0.0,4.3,0.0,23.2,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",7-vo2-development.zwo
9,HIGH ✓✓,HIIT30/15 for Allrounder Profile,individual-power-profile-dependent-workouts,67.0,72.9,0.808,VO2max — Rønnestad micro-intervals (30s/15s × 13),59.0,0.0,0.0,0.0,2.2,38.8,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",allrounder-hiit3015-for-allrounder-profile.zwo
9,HIGH ✓✓,HIIT30/15 for Puncheur Profile,individual-power-profile-dependent-workouts,67.0,74.9,0.819,VO2max — Rønnestad micro-intervals (30s/15s × 13),59.0,0.0,0.0,0.0,2.2,38.8,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",puncheur-hiit3015-for-puncheur-profile.zwo
9,HIGH ✓✓,HIIT30/15 for Time Trial Power Profile,individual-power-profile-dependent-workouts,67.0,70.0,0.792,VO2max — Rønnestad micro-intervals (30s/15s × 13),59.0,0.0,0.0,0.0,2.2,38.8,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",time-trialist-hiit3015-for-time-trial-power-profile.zwo
9,HIGH ✓✓,1. Coop Academy FTP Test,pro-development-2017,67.0,36.4,0.571,Endurance,75.4,22.4,0.0,0.0,0.0,2.2,Z1,98% in Z1/Z2,month-1-1-coop-academy-ftp-test.zwo
9,HIGH ✓✓,Day 1 - Foundation,ftp-builder,66.0,50.1,0.675,Endurance,15.2,84.8,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-4-day-1-foundation.zwo
9,HIGH ✓✓,Day 3,10-12wk-ftp-builder,65.0,44.5,0.641,Endurance,33.8,66.2,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-2-skip-if-you-are-in-shape-day-3.zwo
9,HIGH ✓✓,Day 1,10-12wk-ftp-builder,65.0,39.5,0.604,Endurance,23.1,76.9,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-6-day-1.zwo
9,HIGH ✓✓,Aerobic Low,chris-ohearn,65.0,31.0,0.535,Endurance,76.9,23.1,0.0,0.0,0.0,0.0,Z1,100% in Z1/Z2,aerobic-low.zwo
9,HIGH ✓✓,ODChickenCyclingers - Z2-60 mix,twelve-week-ftp-challenge,65.0,45.2,0.646,Endurance,12.3,86.2,0.0,0.0,0.0,1.5,Z2,98% in Z1/Z2,endurance-community-z2-60-mix.zwo
9,HIGH ✓✓,Day 3,10-12wk-ftp-builder,64.0,46.6,0.661,Endurance,25.0,75.0,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-3-day-3.zwo
9,HIGH ✓✓,Day 1,10-12wk-ftp-builder,64.0,44.1,0.643,Endurance,43.8,56.2,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-4-day-1.zwo
9,HIGH ✓✓,Day 3,10-12wk-ftp-builder,64.0,46.6,0.661,Endurance,25.0,75.0,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-4-day-3.zwo
9,HIGH ✓✓,ODChickenCyclingers - 30/15's,twelve-week-ftp-challenge,63.5,47.5,0.67,VO2max — Rønnestad micro-intervals (30s/15s × 10),54.3,13.0,0.0,0.0,0.0,32.7,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",vo2-max-community-3015s.zwo
9,HIGH ✓✓,Day 5 - Power max,2018-prl100-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-11-day-5-power-max.zwo
9,HIGH ✓✓,Day 5 - Power max,2018-prl100-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-12-day-5-power-max.zwo
9,HIGH ✓✓,Day 4 - Power max,2018-prl100-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-13-day-4-power-max.zwo
9,HIGH ✓✓,Day 5 - Power max,2018-prl100-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-16-day-5-power-max.zwo
9,HIGH ✓✓,Day 5 - Power max,2018-prl100-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-7-day-5-power-max.zwo
9,HIGH ✓✓,Day 5 - Power max,2018-prl100-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-8-day-5-power-max.zwo
9,HIGH ✓✓,Day 5 - Power max,2018-prl100-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-9-day-5-power-max.zwo
9,HIGH ✓✓,Day 6 - Power max,2018-prl46-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-11-day-6-power-max.zwo
9,HIGH ✓✓,Day 5 - Power max,2018-prl46-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-12-day-5-power-max.zwo
9,HIGH ✓✓,Day 5 - Power max,2018-prl46-prep,63.0,31.1,0.544,Endurance,74.6,22.2,3.2,0.0,0.0,0.0,Z1,97% in Z1/Z2,week-2-day-5-power-max.zwo
9,HIGH ✓✓,2. Takin' It Easy,z-racing,63.0,46.2,0.663,Endurance,7.9,92.1,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-2-2-takin-it-easy.zwo
9,HIGH ✓✓,#37 Strength Reps Set 4,zf19-spokes-personal-coaching-stage-4,63.0,37.7,0.599,Endurance,57.1,23.8,14.3,4.8,0.0,0.0,Z1,81% in Z1/Z2,37-strength-reps-set-4.zwo
9,HIGH ✓✓,2. Takin' It Easy,competitive-race-prep,63.0,46.2,0.663,Endurance,7.9,92.1,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2,week-2-2-takin-it-easy.zwo
9,HIGH ✓✓,Aktivitus Power & Endurance 3,aktivitus-14wk-power-endurance,61.2,63.1,0.786,VO2max — Rønnestad micro-intervals (30s/15s × 13),23.7,21.6,21.2,16.3,4.9,12.2,Z1,"High W' accumulation, low fatigue (Rønnestad 2020)",aktivitus-power-endurance-3.zwo
9,HIGH ✓✓,Day 5,10-12wk-ftp-builder,61.0,30.2,0.545,Endurance,65.6,34.4,0.0,0.0,0.0,0.0,Z1,100% in Z1/Z2,week-7-day-5.zwo
